Resource,Frequency,Percent of Wins,Percentile Rank,Rank,Resource Type
Molten Egg 2,252,0.13914964108227498,0.18937875751503006,94.5,relic
Singing Bowl,248,0.13694091662065158,0.19238476953907815,96.0,relic
Cursed Key,247,0.13638873550524572,0.19438877755511022,97.0,relic
Predator,245,0.13528437327443402,0.1963927855711423,98.0,card
Blue Candle,244,0.13473219215902815,0.19839679358717435,99.0,relic
Ninja Scroll,243,0.13418001104362232,0.20040080160320642,100.0,relic
Tiny Chest,240,0.13252346769740475,0.20240480961923848,101.0,relic
Bottled Tornado,234,0.12921038100496962,0.20541082164328658,102.5,relic
Tough Bandages,234,0.12921038100496962,0.20541082164328658,102.5,relic
Expertise,231,0.12755383765875208,0.20841683366733466,104.0,card
Incense Burner,228,0.12589729431253452,0.21042084168336672,105.0,relic
Blade Dance,227,0.12534511319712865,0.2124248496993988,106.0,card
Matryoshka,226,0.1247929320817228,0.21442885771543085,107.0,relic
Thread and Needle,223,0.12313638873550524,0.21643286573146292,108.0,relic
Die Die Die,219,0.12092766427388184,0.22044088176352705,110.0,card
FossilizedHelix,219,0.12092766427388184,0.22044088176352705,110.0,relic
Mango,219,0.12092766427388184,0.22044088176352705,110.0,relic
Flechettes,210,0.11595803423522916,0.22444889779559118,112.0,card
Skewer,205,0.11319712865819989,0.22645290581162325,113.0,card
Darkstone Periapt,203,0.11209276642738818,0.22845691382765532,114.0,relic
Sozu,201,0.11098840419657648,0.23046092184368738,115.0,relic
Torii,199,0.10988404196576478,0.23246492985971945,116.0,relic
Ghostly,198,0.10933186085035891,0.23446893787575152,117.0,card
Tools of the Trade,196,0.10822749861954721,0.23647294589178355,118.0,card
Black Star,192,0.1060187741579238,0.23847695390781562,119.0,relic
Philosopher's Stone,191,0.10546659304251794,0.24148296593186372,120.5,relic
Calipers,191,0.10546659304251794,0.24148296593186372,120.5,relic
Ice Cream,190,0.1049144119271121,0.24448897795591182,122.0,relic
Bird Faced Urn,189,0.10436223081170624,0.24749498997995992,123.5,relic
Busted Crown,189,0.10436223081170624,0.24749498997995992,123.5,relic
Membership Card,188,0.10381004969630038,0.250501002004008,125.0,relic
Venomology,187,0.10325786858089453,0.2535070140280561,126.5,card
Quick Slash,187,0.10325786858089453,0.2535070140280561,126.5,card
Pocketwatch,186,0.10270568746548868,0.2565130260521042,128.0,relic
Golden Idol,185,0.10215350635008283,0.25851703406813625,129.0,relic
Turnip,183,0.10104914411927111,0.26152304609218435,130.5,relic
Prayer Wheel,183,0.10104914411927111,0.26152304609218435,130.5,relic
Envenom,181,0.09994478188845941,0.26452905811623245,132.0,card
Nunchaku,180,0.09939260077305356,0.2665330661322645,133.0,relic
Bullet Time,179,0.09884041965764771,0.2685370741482966,134.0,card
The Specimen,177,0.097736057426836,0.2715430861723447,135.5,relic
A Thousand Cuts,177,0.097736057426836,0.2715430861723447,135.5,card
Du-Vu Doll,175,0.0966316951960243,0.2745490981963928,137.0,relic
Fusion Hammer,171,0.09442297073440088,0.27655310621242485,138.0,relic
Snecko Eye,170,0.09387078961899503,0.2785571142284569,139.0,relic
StoneCalendar,167,0.09221424627277747,0.280561122244489,140.0,relic
Old Coin,165,0.09110988404196577,0.28557114228456915,142.5,relic
Dead Branch,165,0.09110988404196577,0.28557114228456915,142.5,relic
Flying Knee,165,0.09110988404196577,0.28557114228456915,142.5,card
Tingsha,165,0.09110988404196577,0.28557114228456915,142.5,relic
Unceasing Top,163,0.09000552181115405,0.2905811623246493,145.0,relic
Endless Agony,162,0.0894533406957482,0.2925851703406814,146.0,card
Sucker Punch,159,0.08779679734953065,0.29458917835671344,147.0,card
Doppelganger,149,0.08227498619547212,0.2965931863727455,148.0,card
Glass Knife,147,0.0811706239646604,0.2985971943887776,149.0,card
Heel Hook,146,0.08061844284925455,0.30060120240480964,150.0,card
Ginger,139,0.07675317504141359,0.3046092184368738,152.0,relic
Peace Pipe,139,0.07675317504141359,0.3046092184368738,152.0,relic
Apotheosis,139,0.07675317504141359,0.3046092184368738,152.0,card
Girya,137,0.07564881281060187,0.30861723446893785,154.0,relic
Medical Kit,135,0.07454445057979017,0.3106212424849699,155.0,relic
Outmaneuver,134,0.07399226946438432,0.312625250501002,156.0,card
Purity,132,0.07288790723357261,0.31462925851703405,157.0,card
Finisher,130,0.0717835450027609,0.3166332665330661,158.0,card
Mark of the Bloom,126,0.06957482054113749,0.3196392785571142,159.5,relic
Bottled Flame,126,0.06957482054113749,0.3196392785571142,159.5,relic
WarpedTongs,124,0.06847045831032579,0.32364729458917835,161.5,relic
WingedGreaves,124,0.06847045831032579,0.32364729458917835,161.5,relic
Orrery,121,0.06681391496410823,0.32665330661322645,163.0,relic
Bane,119,0.06570955273329653,0.3286573146292585,164.0,card
Odd Mushroom,116,0.06405300938707896,0.3306613226452906,165.0,relic
Runic Dome,115,0.06350082827167311,0.33266533066132264,166.0,relic
Shovel,112,0.06184428492545555,0.3346693386773547,167.0,relic
Finesse,111,0.061292103810049695,0.3376753507014028,168.5,card
All Out Attack,111,0.061292103810049695,0.3376753507014028,168.5,card
Impatience,108,0.05963556046383214,0.3406813627254509,170.0,card
DollysMirror,104,0.05742683600220872,0.342685370741483,171.0,relic
Dark Shackles,103,0.05687465488680287,0.34468937875751504,172.0,card
Accuracy,99,0.054665930425179456,0.3466933867735471,173.0,card
HoveringKite,96,0.0530093870789619,0.3486973947895792,174.0,relic
Choke,95,0.05245720596355605,0.3517034068136273,175.5,card
OrangePellets,95,0.05245720596355605,0.3517034068136273,175.5,relic
Tiny House,94,0.05190502484815019,0.35470941883767537,177.0,relic
TwistedFunnel,93,0.05135284373274434,0.35671342685370744,178.0,relic
Masterful Stab,92,0.05080066261733849,0.35971943887775554,179.5,card
Velvet Choker,92,0.05080066261733849,0.35971943887775554,179.5,relic
ClockworkSouvenir,90,0.04969630038652678,0.3627254509018036,181.0,relic
Eternal Feather,89,0.049144119271120924,0.36472945891783565,182.0,relic
Master of Strategy,88,0.048591938155715074,0.3667334669338677,183.0,card
Underhanded Strike,85,0.046935394809497516,0.3697394789579158,184.5,card
MutagenicStrength,85,0.046935394809497516,0.3697394789579158,184.5,relic
Ring of the Serpent,80,0.04417448923246825,0.37374749498997994,186.5,relic
TheAbacus,80,0.04417448923246825,0.37374749498997994,186.5,relic
White Beast Statue,78,0.04307012700165654,0.37675350701402804,188.0,relic
Riddle With Holes,77,0.04251794588625069,0.3787575150300601,189.0,card
Distraction,76,0.041965764770844835,0.3807615230460922,190.0,card
Eviscerate,73,0.04030922142462728,0.38276553106212424,191.0,card
Slice,72,0.03975704030922143,0.38577154308617234,192.5,card
Deep Breath,72,0.03975704030922143,0.38577154308617234,192.5,card
Calling Bell,71,0.03920485919381557,0.38877755511022044,194.0,relic
Madness,69,0.03810049696300387,0.3907815631262525,195.0,card
Storm of Steel,68,0.03754831584759801,0.3927855711422846,196.0,card
Enchiridion,67,0.03699613473219216,0.39478957915831664,197.0,relic
Bite,65,0.03589177250138045,0.3967935871743487,198.0,card
Lizard Tail,64,0.0353395913859746,0.39879759519038077,199.0,relic
PrismaticShard,63,0.034787410270568746,0.40080160320641284,200.0,relic
Panacea,62,0.034235229155162895,0.4028056112224449,201.0,card
WristBlade,61,0.03368304803975704,0.40480961923847697,202.0,relic
Chemical X,59,0.03257868580894534,0.40681362725450904,203.0,relic
Flash of Steel,52,0.02871341800110436,0.40981963927855714,204.5,card
Setup,52,0.02871341800110436,0.40981963927855714,204.5,card
Lee's Waffle,50,0.027609055770292656,0.41282565130260523,206.0,relic
Parasite,48,0.02650469353948095,0.4148296593186373,207.0,card
Bloody Idol,46,0.025400331308669245,0.4168336673346693,208.0,relic
Ectoplasm,45,0.02484815019326339,0.4198396793587174,209.5,relic
Phantasmal Killer,45,0.02484815019326339,0.4198396793587174,209.5,card
Toy Ornithopter,43,0.023743787962451683,0.4228456913827655,211.0,relic
FaceOfCleric,41,0.02263942573163998,0.4258517034068136,212.5,relic
Nilry's Codex,41,0.02263942573163998,0.4258517034068136,212.5,relic
Writhe,40,0.022087244616234125,0.4288577154308617,214.0,card
Secret Technique,39,0.02153506350082827,0.4308617234468938,215.0,card
Nloth's Gift,38,0.020982882385422418,0.4348697394789579,217.0,relic
SsserpentHead,38,0.020982882385422418,0.4348697394789579,217.0,relic
Discovery,38,0.020982882385422418,0.4348697394789579,217.0,card
Bandage Up,37,0.020430701270016567,0.43887775551102204,219.0,card
Necronomicon,36,0.019878520154610713,0.44188376753507014,220.5,relic
Thinking Ahead,36,0.019878520154610713,0.44188376753507014,220.5,card
Necronomicurse,35,0.01932633903920486,0.44488977955911824,222.0,card
RitualDagger,34,0.018774157923799006,0.4468937875751503,223.0,card
Unload,33,0.018221976808393152,0.44889779559118237,224.0,card
Clumsy,30,0.016565433462175594,0.45090180360721444,225.0,card
CultistMask,29,0.01601325234676974,0.4529058116232465,226.0,relic
Frozen Eye,26,0.01435670900055218,0.45490981963927857,227.0,relic
Decay,25,0.013804527885146328,0.45691382765531063,228.0,card
Panache,24,0.013252346769740474,0.46092184368737477,230.0,card
Strange Spoon,24,0.013252346769740474,0.46092184368737477,230.0,relic
Injury,24,0.013252346769740474,0.46092184368737477,230.0,card
Shame,23,0.012700165654334622,0.46593186372745493,232.5,card
Trip,23,0.012700165654334622,0.46593186372745493,232.5,card
Blind,22,0.012147984538928768,0.46893787575150303,234.0,card
Good Instincts,18,0.009939260077305357,0.4709418837675351,235.0,card
Transmutation,17,0.009387078961899503,0.4729458917835671,236.0,card
HandOfGreed,16,0.00883489784649365,0.4759519038076152,237.5,card
PanicButton,16,0.00883489784649365,0.4759519038076152,237.5,card
Sling,15,0.008282716731087797,0.47995991983967934,239.5,relic
HandDrill,15,0.008282716731087797,0.47995991983967934,239.5,relic
Magnetism,14,0.007730535615681944,0.4849699398797595,242.0,card
Normality,14,0.007730535615681944,0.4849699398797595,242.0,card
Chrysalis,14,0.007730535615681944,0.4849699398797595,242.0,card
MealTicket,13,0.00717835450027609,0.4909819639278557,245.0,relic
Dramatic Entrance,13,0.00717835450027609,0.4909819639278557,245.0,card
Doubt,13,0.00717835450027609,0.4909819639278557,245.0,card
True Grit,12,0.006626173384870237,0.4969939879759519,248.0,card
The Bomb,12,0.006626173384870237,0.4969939879759519,248.0,card
Regret,12,0.006626173384870237,0.4969939879759519,248.0,card
Echo Form,11,0.006073992269464384,0.503006012024048,251.0,card
Cauldron,11,0.006073992269464384,0.503006012024048,251.0,relic
Pain,11,0.006073992269464384,0.503006012024048,251.0,card
CaptainsWheel,10,0.005521811154058531,0.5140280561122245,256.5,relic
InkBottle,10,0.005521811154058531,0.5140280561122245,256.5,relic
GremlinMask,10,0.005521811154058531,0.5140280561122245,256.5,relic
Havoc,10,0.005521811154058531,0.5140280561122245,256.5,card
Jack Of All Trades,10,0.005521811154058531,0.5140280561122245,256.5,card
Toolbox,10,0.005521811154058531,0.5140280561122245,256.5,relic
Enlightenment,10,0.005521811154058531,0.5140280561122245,256.5,card
Evolve,10,0.005521811154058531,0.5140280561122245,256.5,card
Burning Pact,9,0.004969630038652678,0.5240480961923848,261.5,card
Sadistic Nature,9,0.004969630038652678,0.5240480961923848,261.5,card
CeramicFish,8,0.004417448923246825,0.5290581162324649,264.0,relic
Turbo,8,0.004417448923246825,0.5290581162324649,264.0,card
Mayhem,8,0.004417448923246825,0.5290581162324649,264.0,card
Shrug It Off,7,0.003865267807840972,0.5430861723446894,271.0,card
Seek,7,0.003865267807840972,0.5430861723446894,271.0,card
Double Energy,7,0.003865267807840972,0.5430861723446894,271.0,card
Disarm,7,0.003865267807840972,0.5430861723446894,271.0,card
Hologram,7,0.003865267807840972,0.5430861723446894,271.0,card
Violence,7,0.003865267807840972,0.5430861723446894,271.0,card
HornCleat,7,0.003865267807840972,0.5430861723446894,271.0,relic
Coolheaded,7,0.003865267807840972,0.5430861723446894,271.0,card
J.A.X.,7,0.003865267807840972,0.5430861723446894,271.0,card
Forethought,7,0.003865267807840972,0.5430861723446894,271.0,card
Secret Weapon,7,0.003865267807840972,0.5430861723446894,271.0,card
Spot Weakness,6,0.0033130866924351186,0.5651302605210421,282.0,card
Demon Form,6,0.0033130866924351186,0.5651302605210421,282.0,card
CloakClasp,6,0.0033130866924351186,0.5651302605210421,282.0,relic
Pommel Strike,6,0.0033130866924351186,0.5651302605210421,282.0,card
Body Slam,6,0.0033130866924351186,0.5651302605210421,282.0,card
White Noise,6,0.0033130866924351186,0.5651302605210421,282.0,card
Swift Strike,6,0.0033130866924351186,0.5651302605210421,282.0,card
Akabeko,6,0.0033130866924351186,0.5651302605210421,282.0,relic
Core Surge,6,0.0033130866924351186,0.5651302605210421,282.0,card
All For One,6,0.0033130866924351186,0.5651302605210421,282.0,card
FTL,6,0.0033130866924351186,0.5651302605210421,282.0,card
Limit Break,5,0.0027609055770292656,0.594188376753507,296.5,card
Rage,5,0.0027609055770292656,0.594188376753507,296.5,card
Steam,5,0.0027609055770292656,0.594188376753507,296.5,card
TungstenRod,5,0.0027609055770292656,0.594188376753507,296.5,relic
Feel No Pain,5,0.0027609055770292656,0.594188376753507,296.5,card
Spirit Poop,5,0.0027609055770292656,0.594188376753507,296.5,relic
Chill,5,0.0027609055770292656,0.594188376753507,296.5,card
Buffer,5,0.0027609055770292656,0.594188376753507,296.5,card
Skim,5,0.0027609055770292656,0.594188376753507,296.5,card
Meteor Strike,5,0.0027609055770292656,0.594188376753507,296.5,card
Reprogram,5,0.0027609055770292656,0.594188376753507,296.5,card
CurseOfTheBell,5,0.0027609055770292656,0.594188376753507,296.5,card
Gash,5,0.0027609055770292656,0.594188376753507,296.5,card
Second Wind,5,0.0027609055770292656,0.594188376753507,296.5,card
NlothsMask,5,0.0027609055770292656,0.594188376753507,296.5,relic
Juggernaut,5,0.0027609055770292656,0.594188376753507,296.5,card
Tempest,5,0.0027609055770292656,0.594188376753507,296.5,card
Amplify,5,0.0027609055770292656,0.594188376753507,296.5,card
BootSequence,4,0.0022087244616234127,0.6312625250501002,315.0,card
SacredBark,4,0.0022087244616234127,0.6312625250501002,315.0,relic
Creative AI,4,0.0022087244616234127,0.6312625250501002,315.0,card
Warcry,4,0.0022087244616234127,0.6312625250501002,315.0,card
Intimidate,4,0.0022087244616234127,0.6312625250501002,315.0,card
Impervious,4,0.0022087244616234127,0.6312625250501002,315.0,card
Inflame,4,0.0022087244616234127,0.6312625250501002,315.0,card
Leap,4,0.0022087244616234127,0.6312625250501002,315.0,card
Seeing Red,4,0.0022087244616234127,0.6312625250501002,315.0,card
Ball Lightning,4,0.0022087244616234127,0.6312625250501002,315.0,card
Corruption,4,0.0022087244616234127,0.6312625250501002,315.0,card
Self Repair,4,0.0022087244616234127,0.6312625250501002,315.0,card
Reinforced Body,4,0.0022087244616234127,0.6312625250501002,315.0,card
Armaments,4,0.0022087244616234127,0.6312625250501002,315.0,card
Recycle,4,0.0022087244616234127,0.6312625250501002,315.0,card
Dual Wield,4,0.0022087244616234127,0.6312625250501002,315.0,card
Feed,4,0.0022087244616234127,0.6312625250501002,315.0,card
Barricade,4,0.0022087244616234127,0.6312625250501002,315.0,card
Heatsinks,4,0.0022087244616234127,0.6312625250501002,315.0,card
Clothesline,3,0.0016565433462175593,0.6773547094188377,338.0,card
Offering,3,0.0016565433462175593,0.6773547094188377,338.0,card
Mind Blast,3,0.0016565433462175593,0.6773547094188377,338.0,card
Sunder,3,0.0016565433462175593,0.6773547094188377,338.0,card
Stack,3,0.0016565433462175593,0.6773547094188377,338.0,card
Burning Blood,3,0.0016565433462175593,0.6773547094188377,338.0,relic
Machine Learning,3,0.0016565433462175593,0.6773547094188377,338.0,card
Brimstone,3,0.0016565433462175593,0.6773547094188377,338.0,relic
SlaversCollar,3,0.0016565433462175593,0.6773547094188377,338.0,relic
Chaos,3,0.0016565433462175593,0.6773547094188377,338.0,card
StrikeDummy,3,0.0016565433462175593,0.6773547094188377,338.0,relic
Flex,3,0.0016565433462175593,0.6773547094188377,338.0,card
Double Tap,3,0.0016565433462175593,0.6773547094188377,338.0,card
Heavy Blade,3,0.0016565433462175593,0.6773547094188377,338.0,card
Fission,3,0.0016565433462175593,0.6773547094188377,338.0,card
Fiend Fire,3,0.0016565433462175593,0.6773547094188377,338.0,card
Fusion,3,0.0016565433462175593,0.6773547094188377,338.0,card
Ghostly Armor,3,0.0016565433462175593,0.6773547094188377,338.0,card
Red Skull,3,0.0016565433462175593,0.6773547094188377,338.0,relic
Reaper,3,0.0016565433462175593,0.6773547094188377,338.0,card
Rainbow,3,0.0016565433462175593,0.6773547094188377,338.0,card
Shockwave,3,0.0016565433462175593,0.6773547094188377,338.0,card
Sword Boomerang,3,0.0016565433462175593,0.6773547094188377,338.0,card
Steam Power,3,0.0016565433462175593,0.6773547094188377,338.0,card
Immolate,3,0.0016565433462175593,0.6773547094188377,338.0,card
Infernal Blade,3,0.0016565433462175593,0.6773547094188377,338.0,card
Undo,3,0.0016565433462175593,0.6773547094188377,338.0,card
Alchemist,2,0.0011043622308117063,0.7615230460921844,380.0,relic
Metallicize,2,0.0011043622308117063,0.7615230460921844,380.0,card
DataDisk,2,0.0011043622308117063,0.7615230460921844,380.0,relic
Flame Barrier,2,0.0011043622308117063,0.7615230460921844,380.0,card
Anger,2,0.0011043622308117063,0.7615230460921844,380.0,card
Cracked Core,2,0.0011043622308117063,0.7615230460921844,380.0,relic
Whirlwind,2,0.0011043622308117063,0.7615230460921844,380.0,card
Wild Strike,2,0.0011043622308117063,0.7615230460921844,380.0,card
Aggregate,2,0.0011043622308117063,0.7615230460921844,380.0,card
Scrape,2,0.0011043622308117063,0.7615230460921844,380.0,card
Circlet,2,0.0011043622308117063,0.7615230460921844,380.0,relic
Champion Belt,2,0.0011043622308117063,0.7615230460921844,380.0,relic
Metamorphosis,2,0.0011043622308117063,0.7615230460921844,380.0,card
Biased Cognition,2,0.0011043622308117063,0.7615230460921844,380.0,card
Reboot,2,0.0011043622308117063,0.7615230460921844,380.0,card
Shiv,2,0.0011043622308117063,0.7615230460921844,380.0,card
Charon's Ashes,2,0.0011043622308117063,0.7615230460921844,380.0,relic
Cables,2,0.0011043622308117063,0.7615230460921844,380.0,relic
Auto Shields,2,0.0011043622308117063,0.7615230460921844,380.0,card
Perfected Strike,2,0.0011043622308117063,0.7615230460921844,380.0,card
Cold Snap,2,0.0011043622308117063,0.7615230460921844,380.0,card
Carnage,2,0.0011043622308117063,0.7615230460921844,380.0,card
Pummel,2,0.0011043622308117063,0.7615230460921844,380.0,card
Sneak Up,2,0.0011043622308117063,0.7615230460921844,380.0,card
Symbiotic Virus,2,0.0011043622308117063,0.7615230460921844,380.0,relic
Power Through,2,0.0011043622308117063,0.7615230460921844,380.0,card
Emotion Chip,2,0.0011043622308117063,0.7615230460921844,380.0,relic
Beam Cell,2,0.0011043622308117063,0.7615230460921844,380.0,card
Berserk,2,0.0011043622308117063,0.7615230460921844,380.0,card
Redo,2,0.0011043622308117063,0.7615230460921844,380.0,card
Conserve Battery,2,0.0011043622308117063,0.7615230460921844,380.0,card
IndustrialRevolution,2,0.0011043622308117063,0.7615230460921844,380.0,relic
Dark Embrace,2,0.0011043622308117063,0.7615230460921844,380.0,card
Magic Flower,2,0.0011043622308117063,0.7615230460921844,380.0,relic
Self Forming Clay,2,0.0011043622308117063,0.7615230460921844,380.0,relic
Uppercut,2,0.0011043622308117063,0.7615230460921844,380.0,card
Mark of Pain,2,0.0011043622308117063,0.7615230460921844,380.0,relic
Runic Cube,2,0.0011043622308117063,0.7615230460921844,380.0,relic
Runic Capacitor,2,0.0011043622308117063,0.7615230460921844,380.0,relic
Hyperbeam,2,0.0011043622308117063,0.7615230460921844,380.0,card
Hemokinesis,2,0.0011043622308117063,0.7615230460921844,380.0,card
Hello World,2,0.0011043622308117063,0.7615230460921844,380.0,card
Basket Of Snakes,2,0.0011043622308117063,0.7615230460921844,380.0,relic
Headbutt,2,0.0011043622308117063,0.7615230460921844,380.0,card
Glacier,2,0.0011043622308117063,0.7615230460921844,380.0,card
Nuclear Battery,2,0.0011043622308117063,0.7615230460921844,380.0,relic
Genetic Algorithm,2,0.0011043622308117063,0.7615230460921844,380.0,card
Exhume,2,0.0011043622308117063,0.7615230460921844,380.0,card
Thunderclap,2,0.0011043622308117063,0.7615230460921844,380.0,card
OneHitWonder,2,0.0011043622308117063,0.7615230460921844,380.0,relic
Fire Breathing,2,0.0011043622308117063,0.7615230460921844,380.0,card
Paper Frog,2,0.0011043622308117063,0.7615230460921844,380.0,relic
Darkness,2,0.0011043622308117063,0.7615230460921844,380.0,card
Force Field,2,0.0011043622308117063,0.7615230460921844,380.0,card
Simple Rune,2,0.0011043622308117063,0.7615230460921844,380.0,relic
InfectionSource,2,0.0011043622308117063,0.7615230460921844,380.0,relic
Inserter,2,0.0011043622308117063,0.7615230460921844,380.0,relic
HarvestTotem,1,0.0005521811154058532,0.9098196392785571,454.0,relic
PulseDistributor,1,0.0005521811154058532,0.9098196392785571,454.0,card
RetroEgg,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Ring of Chaos,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Atom Bomb,1,0.0005521811154058532,0.9098196392785571,454.0,card
NegativeEmotionEnhancer,1,0.0005521811154058532,0.9098196392785571,454.0,relic
DragonStarHat,1,0.0005521811154058532,0.9098196392785571,454.0,relic
