Resource,Frequency,Percent of Wins,Percentile Rank,Rank,Resource Type
Finesse,77,0.046135410425404436,0.4701492537313433,189.0,card
Enchiridion,71,0.04254044337926902,0.472636815920398,190.0,relic
Bloody Idol,69,0.04134212103055722,0.47512437810945274,191.0,relic
Calling Bell,67,0.040143798681845415,0.47885572139303484,192.5,relic
Mark of the Bloom,67,0.040143798681845415,0.47885572139303484,192.5,relic
Parasite,65,0.03894547633313361,0.48258706467661694,194.0,card
Lizard Tail,63,0.037747153984421807,0.48507462686567165,195.0,relic
Deep Breath,61,0.03654883163571001,0.48756218905472637,196.0,card
Hyperbeam,60,0.035949670461354104,0.4900497512437811,197.0,card
Secret Technique,59,0.035350509286998205,0.4925373134328358,198.0,card
Scrape,58,0.0347513481126423,0.49502487562189057,199.0,card
Lee's Waffle,57,0.0341521869382864,0.4975124378109453,200.0,relic
PanicButton,55,0.0329538645895746,0.5012437810945274,201.5,card
TheAbacus,55,0.0329538645895746,0.5012437810945274,201.5,relic
Tiny House,52,0.03115638106650689,0.5049751243781094,203.0,relic
Eternal Feather,51,0.03055721989215099,0.5074626865671642,204.0,relic
Purity,48,0.028759736369083282,0.5111940298507462,205.5,card
Flash of Steel,48,0.028759736369083282,0.5111940298507462,205.5,card
Nilry's Codex,47,0.02816057519472738,0.5149253731343284,207.0,relic
Enlightenment,41,0.02456560814859197,0.5174129353233831,208.0,card
Chemical X,39,0.023367285799880167,0.5211442786069652,209.5,relic
Bite,39,0.023367285799880167,0.5211442786069652,209.5,card
Blind,38,0.022768124625524265,0.5248756218905473,211.0,card
Frozen Eye,37,0.022168963451168363,0.5298507462686567,213.0,relic
Bandage Up,37,0.022168963451168363,0.5298507462686567,213.0,card
FaceOfCleric,37,0.022168963451168363,0.5298507462686567,213.0,relic
PrismaticShard,35,0.020970641102456562,0.5348258706467661,215.0,relic
Necronomicon,34,0.02037147992810066,0.5385572139303483,216.5,relic
SsserpentHead,34,0.02037147992810066,0.5385572139303483,216.5,relic
Ectoplasm,33,0.019772318753744758,0.5447761194029851,219.0,relic
Nloth's Gift,33,0.019772318753744758,0.5447761194029851,219.0,relic
MutagenicStrength,33,0.019772318753744758,0.5447761194029851,219.0,relic
White Beast Statue,31,0.018573996405032954,0.5497512437810945,221.0,relic
Clumsy,30,0.017974835230677052,0.5522388059701493,222.0,card
Writhe,29,0.01737567405632115,0.5559701492537313,223.5,card
RitualDagger,29,0.01737567405632115,0.5559701492537313,223.5,card
CultistMask,24,0.014379868184541641,0.5621890547263682,226.0,relic
Doubt,24,0.014379868184541641,0.5621890547263682,226.0,card
Strange Spoon,24,0.014379868184541641,0.5621890547263682,226.0,relic
Violence,23,0.01378070701018574,0.5696517412935324,229.0,card
Panache,23,0.01378070701018574,0.5696517412935324,229.0,card
Necronomicurse,23,0.01378070701018574,0.5696517412935324,229.0,card
Toy Ornithopter,20,0.011983223487118035,0.5758706467661692,231.5,relic
Decay,20,0.011983223487118035,0.5758706467661692,231.5,card
Magnetism,19,0.011384062312762133,0.5796019900497512,233.0,card
Spirit Poop,16,0.009586578789694428,0.5833333333333334,234.5,relic
Shame,16,0.009586578789694428,0.5833333333333334,234.5,card
Thinking Ahead,15,0.008987417615338526,0.5932835820895522,238.5,card
Sling,15,0.008987417615338526,0.5932835820895522,238.5,relic
Mayhem,15,0.008987417615338526,0.5932835820895522,238.5,card
GremlinMask,15,0.008987417615338526,0.5932835820895522,238.5,relic
Transmutation,15,0.008987417615338526,0.5932835820895522,238.5,card
Normality,15,0.008987417615338526,0.5932835820895522,238.5,card
Good Instincts,14,0.008388256440982624,0.6019900497512438,242.0,card
Jack Of All Trades,13,0.007789095266626723,0.6057213930348259,243.5,card
Toolbox,13,0.007789095266626723,0.6057213930348259,243.5,relic
The Bomb,12,0.007189934092270821,0.6106965174129353,245.5,card
Injury,12,0.007189934092270821,0.6106965174129353,245.5,card
Secret Weapon,11,0.006590772917914919,0.6156716417910447,247.5,card
Regret,11,0.006590772917914919,0.6156716417910447,247.5,card
Pain,10,0.005991611743559017,0.6218905472636815,250.0,card
HandOfGreed,10,0.005991611743559017,0.6218905472636815,250.0,card
Chrysalis,10,0.005991611743559017,0.6218905472636815,250.0,card
True Grit,9,0.005392450569203115,0.6281094527363185,252.5,card
PiercingWail,9,0.005392450569203115,0.6281094527363185,252.5,card
NlothsMask,8,0.004793289394847214,0.6330845771144279,254.5,relic
Forethought,8,0.004793289394847214,0.6330845771144279,254.5,card
HandDrill,7,0.004194128220491312,0.6380597014925373,256.5,relic
Backflip,7,0.004194128220491312,0.6380597014925373,256.5,card
After Image,6,0.0035949670461354103,0.6492537313432836,261.0,card
MealTicket,6,0.0035949670461354103,0.6492537313432836,261.0,relic
Acrobatics,6,0.0035949670461354103,0.6492537313432836,261.0,card
Armaments,6,0.0035949670461354103,0.6492537313432836,261.0,card
Body Slam,6,0.0035949670461354103,0.6492537313432836,261.0,card
Havoc,6,0.0035949670461354103,0.6492537313432836,261.0,card
Juggernaut,6,0.0035949670461354103,0.6492537313432836,261.0,card
Trip,5,0.0029958058717795086,0.6691542288557214,269.0,card
InkBottle,5,0.0029958058717795086,0.6691542288557214,269.0,relic
Rampage,5,0.0029958058717795086,0.6691542288557214,269.0,card
Pommel Strike,5,0.0029958058717795086,0.6691542288557214,269.0,card
Warcry,5,0.0029958058717795086,0.6691542288557214,269.0,card
Blur,5,0.0029958058717795086,0.6691542288557214,269.0,card
Burning Pact,5,0.0029958058717795086,0.6691542288557214,269.0,card
Footwork,5,0.0029958058717795086,0.6691542288557214,269.0,card
Cloak And Dagger,5,0.0029958058717795086,0.6691542288557214,269.0,card
Concentrate,4,0.002396644697423607,0.7002487562189055,281.5,card
Escape Plan,4,0.002396644697423607,0.7002487562189055,281.5,card
Dramatic Entrance,4,0.002396644697423607,0.7002487562189055,281.5,card
Calculated Gamble,4,0.002396644697423607,0.7002487562189055,281.5,card
Crippling Poison,4,0.002396644697423607,0.7002487562189055,281.5,card
Infernal Blade,4,0.002396644697423607,0.7002487562189055,281.5,card
Disarm,4,0.002396644697423607,0.7002487562189055,281.5,card
Feel No Pain,4,0.002396644697423607,0.7002487562189055,281.5,card
Backstab,4,0.002396644697423607,0.7002487562189055,281.5,card
Flame Barrier,4,0.002396644697423607,0.7002487562189055,281.5,card
CloakClasp,4,0.002396644697423607,0.7002487562189055,281.5,relic
Outmaneuver,4,0.002396644697423607,0.7002487562189055,281.5,card
Mind Blast,4,0.002396644697423607,0.7002487562189055,281.5,card
Clothesline,4,0.002396644697423607,0.7002487562189055,281.5,card
Shrug It Off,4,0.002396644697423607,0.7002487562189055,281.5,card
Prepared,4,0.002396644697423607,0.7002487562189055,281.5,card
Leg Sweep,3,0.0017974835230677051,0.7437810945273632,299.0,card
SacredBark,3,0.0017974835230677051,0.7437810945273632,299.0,relic
HornCleat,3,0.0017974835230677051,0.7437810945273632,299.0,relic
Power Through,3,0.0017974835230677051,0.7437810945273632,299.0,card
Thunderclap,3,0.0017974835230677051,0.7437810945273632,299.0,card
CurseOfTheBell,3,0.0017974835230677051,0.7437810945273632,299.0,card
Deflect,3,0.0017974835230677051,0.7437810945273632,299.0,card
Entrench,3,0.0017974835230677051,0.7437810945273632,299.0,card
Venomology,3,0.0017974835230677051,0.7437810945273632,299.0,card
Impervious,3,0.0017974835230677051,0.7437810945273632,299.0,card
Distraction,3,0.0017974835230677051,0.7437810945273632,299.0,card
Reaper,3,0.0017974835230677051,0.7437810945273632,299.0,card
Quick Slash,3,0.0017974835230677051,0.7437810945273632,299.0,card
StrikeDummy,3,0.0017974835230677051,0.7437810945273632,299.0,relic
Grand Finale,3,0.0017974835230677051,0.7437810945273632,299.0,card
Fiend Fire,3,0.0017974835230677051,0.7437810945273632,299.0,card
Metallicize,3,0.0017974835230677051,0.7437810945273632,299.0,card
Metamorphosis,3,0.0017974835230677051,0.7437810945273632,299.0,card
CaptainsWheel,3,0.0017974835230677051,0.7437810945273632,299.0,relic
Limit Break,2,0.0011983223487118035,0.8159203980099502,328.0,card
Akabeko,2,0.0011983223487118035,0.8159203980099502,328.0,relic
Swift Strike,2,0.0011983223487118035,0.8159203980099502,328.0,card
Sucker Punch,2,0.0011983223487118035,0.8159203980099502,328.0,card
Wraith Form v2,2,0.0011983223487118035,0.8159203980099502,328.0,card
Survivor,2,0.0011983223487118035,0.8159203980099502,328.0,card
Doppelganger,2,0.0011983223487118035,0.8159203980099502,328.0,card
Barricade,2,0.0011983223487118035,0.8159203980099502,328.0,card
Dark Embrace,2,0.0011983223487118035,0.8159203980099502,328.0,card
Ring of the Snake,2,0.0011983223487118035,0.8159203980099502,328.0,relic
Shockwave,2,0.0011983223487118035,0.8159203980099502,328.0,card
Demon Form,2,0.0011983223487118035,0.8159203980099502,328.0,card
Deadly Poison,2,0.0011983223487118035,0.8159203980099502,328.0,card
A Thousand Cuts,2,0.0011983223487118035,0.8159203980099502,328.0,card
BargainBundle,2,0.0011983223487118035,0.8159203980099502,328.0,relic
Slice,2,0.0011983223487118035,0.8159203980099502,328.0,card
Blade Dance,2,0.0011983223487118035,0.8159203980099502,328.0,card
Bash,2,0.0011983223487118035,0.8159203980099502,328.0,card
Anger,2,0.0011983223487118035,0.8159203980099502,328.0,card
Second Wind,2,0.0011983223487118035,0.8159203980099502,328.0,card
Malaise,2,0.0011983223487118035,0.8159203980099502,328.0,card
Spot Weakness,2,0.0011983223487118035,0.8159203980099502,328.0,card
Burst,2,0.0011983223487118035,0.8159203980099502,328.0,card
BasicCrystalCard,2,0.0011983223487118035,0.8159203980099502,328.0,card
Sadistic Nature,2,0.0011983223487118035,0.8159203980099502,328.0,card
J.A.X.,2,0.0011983223487118035,0.8159203980099502,328.0,card
Cauldron,2,0.0011983223487118035,0.8159203980099502,328.0,relic
Evolve,2,0.0011983223487118035,0.8159203980099502,328.0,card
Solar Panel,2,0.0011983223487118035,0.8159203980099502,328.0,relic
Envenom,2,0.0011983223487118035,0.8159203980099502,328.0,card
Infinite Blades,2,0.0011983223487118035,0.8159203980099502,328.0,card
Inflame,2,0.0011983223487118035,0.8159203980099502,328.0,card
Adrenaline,2,0.0011983223487118035,0.8159203980099502,328.0,card
CeramicFish,2,0.0011983223487118035,0.8159203980099502,328.0,relic
Heavy Blade,2,0.0011983223487118035,0.8159203980099502,328.0,card
Flex,2,0.0011983223487118035,0.8159203980099502,328.0,card
Simple Rune,2,0.0011983223487118035,0.8159203980099502,328.0,relic
Intimidate,2,0.0011983223487118035,0.8159203980099502,328.0,card
Expertise,2,0.0011983223487118035,0.8159203980099502,328.0,card
Arrowhead,1,0.0005991611743559018,0.9328358208955224,375.0,relic
Tingsha,1,0.0005991611743559018,0.9328358208955224,375.0,relic
Uppercut,1,0.0005991611743559018,0.9328358208955224,375.0,card
Onion Ring,1,0.0005991611743559018,0.9328358208955224,375.0,relic
Ninja Scroll,1,0.0005991611743559018,0.9328358208955224,375.0,relic
Carrot,1,0.0005991611743559018,0.9328358208955224,375.0,relic
Grinning Jar,1,0.0005991611743559018,0.9328358208955224,375.0,relic
Mirror Shield,1,0.0005991611743559018,0.9328358208955224,375.0,card
Snack Pack,1,0.0005991611743559018,0.9328358208955224,375.0,relic
ReplayFunnel,1,0.0005991611743559018,0.9328358208955224,375.0,relic
Dagger Spray,1,0.0005991611743559018,0.9328358208955224,375.0,card
Mark of Pain,1,0.0005991611743559018,0.9328358208955224,375.0,relic
Caltrops,1,0.0005991611743559018,0.9328358208955224,375.0,card
DreamHouse,1,0.0005991611743559018,0.9328358208955224,375.0,relic
Dagger Throw,1,0.0005991611743559018,0.9328358208955224,375.0,card
FIFO Queue,1,0.0005991611743559018,0.9328358208955224,375.0,card
Seeing Red,1,0.0005991611743559018,0.9328358208955224,375.0,card
Bandana,1,0.0005991611743559018,0.9328358208955224,375.0,relic
Twin Strike,1,0.0005991611743559018,0.9328358208955224,375.0,card
Feed,1,0.0005991611743559018,0.9328358208955224,375.0,card
Rage,1,0.0005991611743559018,0.9328358208955224,375.0,card
Fire Breathing,1,0.0005991611743559018,0.9328358208955224,375.0,card
Cleave,1,0.0005991611743559018,0.9328358208955224,375.0,card
Ghostly Armor,1,0.0005991611743559018,0.9328358208955224,375.0,card
Baseball,1,0.0005991611743559018,0.9328358208955224,375.0,relic
Headbutt,1,0.0005991611743559018,0.9328358208955224,375.0,card
Iron Wave,1,0.0005991611743559018,0.9328358208955224,375.0,card
Battle Trance,1,0.0005991611743559018,0.9328358208955224,375.0,card
Tough Bandages,1,0.0005991611743559018,0.9328358208955224,375.0,relic
Blue Doll,1,0.0005991611743559018,0.9328358208955224,375.0,relic
Tactician,1,0.0005991611743559018,0.9328358208955224,375.0,card
Offering,1,0.0005991611743559018,0.9328358208955224,375.0,card
Sword Boomerang,1,0.0005991611743559018,0.9328358208955224,375.0,card
Pot Of Greed,1,0.0005991611743559018,0.9328358208955224,375.0,card
Dual Wield,1,0.0005991611743559018,0.9328358208955224,375.0,card
Night Terror,1,0.0005991611743559018,0.9328358208955224,375.0,card
Endless Agony,1,0.0005991611743559018,0.9328358208955224,375.0,card
Noxious Fumes,1,0.0005991611743559018,0.9328358208955224,375.0,card
IndustrialRevolution,1,0.0005991611743559018,0.9328358208955224,375.0,relic
Counterbalance,1,0.0005991611743559018,0.9328358208955224,375.0,relic
Poisoned Stab,1,0.0005991611743559018,0.9328358208955224,375.0,card
Neutralize,1,0.0005991611743559018,0.9328358208955224,375.0,card
ReplayUltimateDefense,1,0.0005991611743559018,0.9328358208955224,375.0,card
Bullet Time,1,0.0005991611743559018,0.9328358208955224,375.0,card
Immolate,1,0.0005991611743559018,0.9328358208955224,375.0,card
Combust,1,0.0005991611743559018,0.9328358208955224,375.0,card
Hope,1,0.0005991611743559018,0.9328358208955224,375.0,relic
Flying Knee,1,0.0005991611743559018,0.9328358208955224,375.0,card
ReplaySort,1,0.0005991611743559018,0.9328358208955224,375.0,card
Time Bomb,1,0.0005991611743559018,0.9328358208955224,375.0,card
Crystallizer,1,0.0005991611743559018,0.9328358208955224,375.0,card
Corruption,1,0.0005991611743559018,0.9328358208955224,375.0,card
Raider's Mask,1,0.0005991611743559018,0.9328358208955224,375.0,relic
Burning Blood,1,0.0005991611743559018,0.9328358208955224,375.0,relic
Toxin Wave,1,0.0005991611743559018,0.9328358208955224,375.0,card
